Auction ID,Bank/Organisation Name,City/District/Location,Auction Date,Reserve Price,Source
67152,Repco Home Finance,"Kalaburgi, Bangalore Urba, Karnataka",11/08/2025,"₹66,00,000",Albion
67150,Repco Home Finance,"Gulbarga, Karnataka",11/08/2025,"₹20,93,000",Albion
67149,Repco Home Finance,"Kalaburagi, Bangalore Urba, Karnataka",11/08/2025,"₹31,86,000",Albion
67147,Repco Home Finance,"Gulbarga, Karnataka",11/08/2025,"₹20,07,000",Albion
67421,PNB Housing Finance,"Anekal, Karnataka",11/08/2025,"₹45,30,000",Albion
67674,Repco Home Finance,"Tiruvannamalai, Tamil Nadu",11/08/2025,"₹28,00,000",Albion
67678,UCO Bank,"Paschim Bardhaman, Kolkata, West Bengal",11/08/2025,"₹19,05,000",Albion
67680,UCO Bank,"Bankura, West Bengal",11/08/2025,"₹1,63,51,603",Albion
67682,UCO Bank,"Paschim Bardhaman, Kolkata, West Bengal",11/08/2025,"₹28,77,000",Albion
67705,Punjab National Bank,"Chennai, Tamil Nadu",11/08/2025,"₹2,37,00,000",Albion
67710,Punjab National Bank,"Chennai, Tamil Nadu",11/08/2025,"₹1,12,00,000",Albion
67724,Punjab National Bank,"Chennai, Tamil Nadu",11/08/2025,"₹1,60,00,000",Albion
67730,Punjab National Bank,"Tiruvallur, Tamil Nadu",11/08/2025,"₹96,82,200",Albion
67857,jana small finance,"Theni, Tamil Nadu",11/08/2025,"₹14,81,500",Albion
66758,Arka fincap,"Coimbatore, Tamil Nadu",11/08/2025,"₹1,85,00,000",Albion
68987,Canara Bank,"kadur, Bangalore Urba, Karnataka",11/08/2025,"₹1,09,00,000",Albion
68988,Canara Bank,"Chikkamagaluru, Karnataka",11/08/2025,"₹58,20,000",Albion
68990,Canara Bank,"Chikkamagaluru, Karnataka",11/08/2025,"₹22,10,000",Albion
68992,Canara Bank,"Chikkamagaluru, Karnataka",11/08/2025,"₹19,32,000",Albion
69045,Punjab National Bank,"Raj Mahal Vilas 2nd Stage, Bangalore Urba, Karnataka",11/08/2025,"₹2,89,00,000",Albion
69468,PNB Housing Finance,"Khardah, Kolkata, West Bengal",11/08/2025,"₹25,24,000",Albion
69502,Karur Vysya Bank,"Tirupur, Tamil Nadu",11/08/2025,"₹65,00,000",Albion
69049,Punjab National Bank,"Lakkasandra, Bangalore Urba, Karnataka",11/08/2025,"₹39,98,000",Albion
69086,Canara Bank,"Chikkamagaluru, Karnataka",11/08/2025,"₹19,32,000",Albion
69098,Indian Overseas Bank,"Tiruvallur, Tamil Nadu",11/08/2025,"₹65,55,000",Albion
69099,Indian Overseas Bank,"Chennai, Tamil Nadu",11/08/2025,"₹1,04,51,900",Albion
69219,Equitas Small Finance Bank,"Theni, Tamil Nadu",11/08/2025,"₹1,16,00,000",Albion
69245,Punjab National Bank,"Kanchipuram, Tamil Nadu",11/08/2025,"₹52,00,000",Albion
69246,Punjab National Bank,"Kanchipuram, Tamil Nadu",11/08/2025,"₹52,00,000",Albion
69270,State Bank of India,"Chennai, Tamil Nadu",11/08/2025,"₹33,00,00,000",Albion
69274,Indian Overseas Bank,"Chennai, Tamil Nadu",11/08/2025,"₹50,81,000",Albion
69276,Indian Overseas Bank,"Chennai, Tamil Nadu",11/08/2025,"₹34,89,000",Albion
69295,State Bank of India,"Kanchipuram, Tamil Nadu",11/08/2025,"₹1,92,33,00,000",Albion
69332,Aptus Value Housing Finance india,"Kanyakumari, Tamil Nadu",11/08/2025,"₹8,89,000",Albion
69341,Punjab National Bank,"Dum Dum, Kolkata, West Bengal",11/08/2025,"₹13,50,000",Albion
69358,Repco Home Finance,"Salem, Tamil Nadu",11/08/2025,"₹87,94,000",Albion
68480,State Bank of India,"Chittaranjan Avenue, Kolkata, West Bengal",11/08/2025,"₹52,00,000",Albion
68607,Karnataka Bank,"Talapady, Mangalore, Karnataka",11/08/2025,"₹34,75,000",Albion
68284,Aditya Birla Housing Finance,"Bhanapur, Cuttack, Odisha",10/08/2025,"₹45,14,101",Albion
69375,Indian Overseas Bank,"Thanjavur, Tamil Nadu",10/08/2025,"₹55,81,000",Albion
69473,Canara Bank,"Purba Bardhaman, Kolkata, West Bengal",10/08/2025,"₹1,96,00,000",Albion
69503,Aditya Birla Housing Finance,"Tirupur, Tamil Nadu",10/08/2025,"₹15,90,300",Albion
68969,Canara Bank,"Ranchi, Jharkhand",10/08/2025,"₹1,78,90,000",Albion
69034,LIC Housing Finance Limited,"Amruthahalli, Bangalore Urba, Karnataka",10/08/2025,"₹72,00,000",Albion
69035,LIC Housing Finance Limited,"Amruthahalli, Bangalore Urba, Karnataka",10/08/2025,"₹67,00,000",Albion
69036,LIC Housing Finance Limited,"Amruthahalli, Bangalore Urba, Karnataka",10/08/2025,"₹67,00,000",Albion
69037,LIC Housing Finance Limited,"Amruthahalli, Bangalore Urba, Karnataka",10/08/2025,"₹67,00,000",Albion
69039,LIC Housing Finance Limited,"Amruthahalli, Bangalore Urba, Karnataka",10/08/2025,"₹71,00,000",Albion
69040,LIC Housing Finance Limited,"Amruthahalli, Bangalore Urba, Karnataka",10/08/2025,"₹72,00,000",Albion
69041,LIC Housing Finance Limited,"Amruthahalli, Bangalore Urba, Karnataka",10/08/2025,"₹67,00,000",Albion
69042,LIC Housing Finance Limited,"Amruthahalli, Bangalore Urba, Karnataka",10/08/2025,"₹67,00,000",Albion
69097,Bajaj housing finance limited,"Kanchipuram, Tamil Nadu",10/08/2025,"₹30,00,000",Albion
69107,Indian Bank,"Kanchipuram, Tamil Nadu",10/08/2025,"₹72,33,000",Albion
69110,Indian Bank,"Kanchipuram, Tamil Nadu",10/08/2025,"₹72,00,000",Albion
69248,Truhome Finance Limited,"Kanchipuram, Tamil Nadu",10/08/2025,"₹42,00,000",Albion
69326,Canara Bank,"North 24 Parganas, West Bengal",10/08/2025,"₹41,50,000",Albion
69327,Canara Bank,"Howrah, West Bengal",10/08/2025,"₹4,03,20,000",Albion
16278,Federal Bank,"Kanchipuram, Tamil Nadu",10/08/2025,"₹45,60,000",Albion
17403,Federal Bank,"Kanchipuram, Tamil Nadu",10/08/2025,"₹32,00,000",Albion
20117,Federal Bank,"Kanchipuram, Tamil Nadu",10/08/2025,"₹33,50,000",Albion
65764,Cholamandalam Investment and Finance Company,"Chennai, Tamil Nadu",10/08/2025,"₹1,10,00,000",Albion
68124,Indian Overseas Bank,"Thanjavur, Tamil Nadu",10/08/2025,"₹13,15,000",Albion
68127,Indian Overseas Bank,"Thanjavur, Tamil Nadu",10/08/2025,"₹12,76,000",Albion
68208,Federal Bank,"adikonda, Guntur, Andhra Pradesh",10/08/2025,"₹19,00,000",Albion
67666,ICICI Bank,"South 24 Parganas, West Bengal",10/08/2025,"₹28,30,000",Albion
67667,ICICI Bank,"Jadavpur, Kolkata, West Bengal",10/08/2025,"₹21,60,000",Albion
67669,ICICI Bank,"South 24 Parganas, West Bengal",10/08/2025,"₹17,10,000",Albion
67689,City Union Bank,"Pudukkottai, Tamil Nadu",10/08/2025,"₹95,00,000",Albion
67692,City Union Bank,"Pudukkottai, Tamil Nadu",10/08/2025,"₹54,00,000",Albion
67697,Central Bank of India,"South 24 Parganas, West Bengal",10/08/2025,"₹38,46,500",Albion
67698,Central Bank of India,"South 24 Parganas, West Bengal",10/08/2025,"₹64,10,500",Albion
67781,SMFG India Home Finance,"Rupnagar, Punjab",10/08/2025,"₹22,80,000",Albion
67784,SMFG India Home Finance,"Balmiki, Ludhiana, Punjab",10/08/2025,"₹17,30,000",Albion
67119,City Union Bank,"Madurai, Tamil Nadu",10/08/2025,"₹30,00,000",Albion
66276,Bank Of Baroda,"Ballygunge, Kolkata, West Bengal",10/08/2025,"₹2,36,70,000",Albion
59508,Axis Bank,"Pune, Maharashtra",09/08/2025,"₹21,01,059",Albion
59509,Axis Bank,"Pune, Maharashtra",09/08/2025,"₹21,01,059",Albion
67662,Bank of India,"Alipore, Kolkata, West Bengal",08/08/2025,"₹49,09,000",Albion
67663,Bank of India,"Alipore, Kolkata, West Bengal",08/08/2025,"₹97,00,000",Albion
67798,Canara Bank,"Namakkal, Tamil Nadu",07/08/2025,"₹4,44,00,000",Albion
67871,Equitas Small Finance Bank,"Kanchipuram, Tamil Nadu",07/08/2025,"₹5,78,000",Albion
67873,Equitas Small Finance Bank,"Kanchipuram, Tamil Nadu",07/08/2025,"₹14,07,000",Albion
67875,Indian Overseas Bank,"Kanyakumari, Tamil Nadu",07/08/2025,"₹10,68,923",Albion
67885,Equitas Small Finance Bank,"Kanyakumari, Tamil Nadu",07/08/2025,"₹7,55,000",Albion
67886,Equitas Small Finance Bank,"Kanyakumari, Tamil Nadu",07/08/2025,"₹19,92,000",Albion
67893,Cholamandalam Investment and Finance Company,"Thanjavur, Tamil Nadu",07/08/2025,"₹48,34,000",Albion
67915,Canara Bank,"Burdwan, Kolkata, West Bengal",07/08/2025,"₹37,48,000",Albion
67916,Canara Bank,"Purulia, Kolkata, West Bengal",07/08/2025,"₹26,85,000",Albion
67917,Canara Bank,"Narayanpur, Kolkata, West Bengal",07/08/2025,"₹18,25,000",Albion
67918,Canara Bank,"Burdwan, Kolkata, West Bengal",07/08/2025,"₹5,08,000",Albion
